epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1909.32,1.02243,0.58775,0.00276,0.91732,0.86393,0.93784,0.73687,0.87483,0.49595,0.00473,0.000494885,0.000494885,0.000494885
43,1954.6,1.01322,0.58395,0.00276,0.91397,0.86384,0.93782,0.73516,0.88284,0.49177,0.00477,0.000486639,0.000486639,0.000486639
44,1999.88,0.99982,0.5695,0.00272,0.93243,0.86165,0.93774,0.74025,0.87044,0.48534,0.00473,0.000478392,0.000478392,0.000478392
45,2045.15,0.98867,0.56564,0.00274,0.91636,0.868,0.93894,0.73755,0.87023,0.48581,0.00476,0.000470145,0.000470145,0.000470145
46,2090.49,0.99458,0.5648,0.00269,0.92641,0.86932,0.93977,0.74295,0.86114,0.48132,0.00464,0.000461898,0.000461898,0.000461898
47,2136.17,0.99382,0.5626,0.00269,0.90204,0.87256,0.93933,0.74426,0.8607,0.48045,0.00465,0.000453652,0.000453652,0.000453652
48,2181.87,0.98805,0.55734,0.00267,0.93074,0.86184,0.93774,0.74943,0.84929,0.47388,0.00458,0.000445405,0.000445405,0.000445405
49,2227.28,0.98609,0.55354,0.00265,0.92647,0.88649,0.94392,0.74491,0.85458,0.46922,0.00464,0.000437158,0.000437158,0.000437158
50,2272.5,0.97515,0.5464,0.00262,0.93876,0.87182,0.94037,0.74457,0.85019,0.46863,0.00461,0.000428912,0.000428912,0.000428912
51,2317.73,0.97089,0.54475,0.00261,0.91836,0.88898,0.94556,0.75209,0.85184,0.45911,0.00459,0.000420665,0.000420665,0.000420665
52,2362.97,0.97103,0.54907,0.00266,0.93023,0.88091,0.9426,0.75309,0.85292,0.4664,0.0046,0.000412418,0.000412418,0.000412418
53,2408.17,0.96299,0.53711,0.00257,0.93641,0.87086,0.94603,0.75514,0.83261,0.45743,0.00448,0.000404172,0.000404172,0.000404172
54,2453.49,0.96142,0.53983,0.00258,0.93313,0.87061,0.94269,0.75107,0.83739,0.46191,0.00454,0.000395925,0.000395925,0.000395925
55,2498.74,0.9551,0.53393,0.00258,0.9251,0.87979,0.944,0.75311,0.83263,0.45475,0.00448,0.000387678,0.000387678,0.000387678
56,2543.96,0.95561,0.52938,0.00255,0.93661,0.86341,0.94567,0.75684,0.82683,0.44382,0.00446,0.000379431,0.000379431,0.000379431
57,2589.18,0.94238,0.5212,0.00254,0.94015,0.87146,0.94321,0.75429,0.83053,0.45028,0.0045,0.000371185,0.000371185,0.000371185
58,2634.58,0.94781,0.52282,0.00254,0.93343,0.86563,0.944,0.76041,0.81839,0.44943,0.00445,0.000362938,0.000362938,0.000362938
59,2680.02,0.93661,0.51588,0.00252,0.92823,0.86756,0.94546,0.75777,0.82328,0.44728,0.00443,0.000354691,0.000354691,0.000354691
60,2725.28,0.93521,0.51969,0.00252,0.92359,0.88814,0.94797,0.75934,0.82443,0.43485,0.00447,0.000346445,0.000346445,0.000346445
61,2770.53,0.93432,0.51381,0.00247,0.92681,0.88112,0.94757,0.759,0.81913,0.43295,0.00441,0.000338198,0.000338198,0.000338198
62,2815.81,0.92365,0.5071,0.00246,0.92812,0.88596,0.9485,0.76338,0.81504,0.43614,0.00439,0.000329951,0.000329951,0.000329951
63,2861.36,0.92867,0.50932,0.00247,0.93091,0.88611,0.94856,0.76721,0.81179,0.43795,0.00436,0.000321705,0.000321705,0.000321705
64,2906.71,0.92241,0.50585,0.00246,0.9436,0.86442,0.9485,0.76574,0.80373,0.42812,0.00431,0.000313458,0.000313458,0.000313458
65,2951.97,0.92063,0.50681,0.00242,0.91939,0.88479,0.94635,0.764,0.80426,0.43114,0.00432,0.000305211,0.000305211,0.000305211
66,2997.11,0.91793,0.50438,0.00244,0.93858,0.87038,0.94988,0.76826,0.80484,0.43321,0.00432,0.000296964,0.000296964,0.000296964
67,3042.43,0.90989,0.49651,0.00241,0.94063,0.87938,0.94889,0.76904,0.79876,0.4324,0.00429,0.000288718,0.000288718,0.000288718
68,3087.79,0.90423,0.49648,0.0024,0.94408,0.86334,0.95059,0.77092,0.7935,0.43177,0.00427,0.000280471,0.000280471,0.000280471
69,3133.18,0.90684,0.49719,0.0024,0.94,0.87274,0.94985,0.76971,0.79551,0.43389,0.00431,0.000272224,0.000272224,0.000272224
70,3178.35,0.91041,0.49501,0.00237,0.93491,0.87725,0.94976,0.77169,0.79002,0.42901,0.00426,0.000263978,0.000263978,0.000263978
71,3223.68,0.90134,0.48729,0.00239,0.93243,0.88338,0.94968,0.7714,0.78831,0.42714,0.00425,0.000255731,0.000255731,0.000255731
72,3268.97,0.90358,0.48678,0.00236,0.93689,0.8756,0.9505,0.77423,0.79056,0.42719,0.00425,0.000247484,0.000247484,0.000247484
73,3314.08,0.89469,0.48898,0.00234,0.9306,0.88346,0.95145,0.77402,0.7876,0.42901,0.00423,0.000239238,0.000239238,0.000239238
74,3359.34,0.89327,0.48431,0.00236,0.92419,0.88938,0.94998,0.77471,0.78399,0.43241,0.00421,0.000230991,0.000230991,0.000230991
75,3404.86,0.88167,0.47688,0.00231,0.94239,0.88191,0.95094,0.77408,0.78486,0.42867,0.00422,0.000222744,0.000222744,0.000222744
76,3450.19,0.88935,0.48673,0.00232,0.94076,0.88619,0.95315,0.77659,0.78305,0.42269,0.00422,0.000214497,0.000214497,0.000214497
77,3495.55,0.88488,0.48095,0.0023,0.94146,0.88216,0.95023,0.7777,0.77918,0.42551,0.00419,0.000206251,0.000206251,0.000206251
78,3540.7,0.87814,0.47549,0.00231,0.92233,0.89838,0.95231,0.77801,0.77795,0.42122,0.00418,0.000198004,0.000198004,0.000198004
79,3586.05,0.87717,0.47089,0.00226,0.93904,0.8883,0.95183,0.78048,0.77429,0.41874,0.00416,0.000189757,0.000189757,0.000189757
80,3631.5,0.87399,0.46967,0.00227,0.92072,0.90068,0.94882,0.77863,0.77266,0.41829,0.00415,0.000181511,0.000181511,0.000181511
81,3677.09,0.87865,0.47564,0.00226,0.92488,0.9018,0.94913,0.77988,0.77179,0.41787,0.00416,0.000173264,0.000173264,0.000173264
82,3722.34,0.85871,0.4614,0.00225,0.93944,0.8954,0.95121,0.7798,0.77274,0.41633,0.00414,0.000165017,0.000165017,0.000165017
83,3767.76,0.87476,0.47113,0.00227,0.93739,0.89547,0.95123,0.77955,0.77281,0.41643,0.00413,0.000156771,0.000156771,0.000156771
84,3813.39,0.86973,0.4694,0.00223,0.93637,0.89885,0.95248,0.78057,0.7689,0.41885,0.00412,0.000148524,0.000148524,0.000148524
85,3858.85,0.86051,0.46331,0.00222,0.93035,0.90228,0.95085,0.7802,0.76909,0.41913,0.00411,0.000140277,0.000140277,0.000140277
86,3904.27,0.86336,0.47118,0.00222,0.92028,0.90258,0.94943,0.77882,0.76804,0.41822,0.00409,0.000132031,0.000132031,0.000132031
87,3949.61,0.85342,0.45695,0.00222,0.93682,0.901,0.9515,0.7824,0.76691,0.41526,0.00409,0.000123784,0.000123784,0.000123784
88,3994.87,0.85251,0.4607,0.00219,0.92935,0.902,0.95239,0.78371,0.76536,0.41815,0.00408,0.000115537,0.000115537,0.000115537
89,4040.11,0.85693,0.45748,0.0022,0.94014,0.89466,0.95372,0.78622,0.76304,0.41513,0.00407,0.00010729,0.00010729,0.00010729
90,4085.48,0.85259,0.45465,0.0022,0.9422,0.89405,0.9535,0.78477,0.76348,0.41305,0.00408,9.90437e-05,9.90437e-05,9.90437e-05
91,4130.72,0.79582,0.40056,0.0022,0.93466,0.89147,0.95005,0.77721,0.77726,0.41754,0.00417,9.0797e-05,9.0797e-05,9.0797e-05
92,4174.71,0.77642,0.38374,0.00211,0.93369,0.89153,0.94839,0.77653,0.77927,0.41926,0.00419,8.25503e-05,8.25503e-05,8.25503e-05
93,4218.76,0.76522,0.38,0.00209,0.93485,0.89133,0.94849,0.77678,0.77862,0.42286,0.00418,7.43036e-05,7.43036e-05,7.43036e-05
94,4262.64,0.75772,0.38066,0.00208,0.93137,0.89419,0.94813,0.77695,0.77466,0.4207,0.00415,6.60569e-05,6.60569e-05,6.60569e-05
95,4306.6,0.75612,0.37555,0.00206,0.93795,0.88896,0.94881,0.77708,0.77179,0.41663,0.00413,5.78102e-05,5.78102e-05,5.78102e-05
96,4350.56,0.75447,0.37672,0.00204,0.93403,0.89512,0.94942,0.77845,0.76832,0.41773,0.00411,4.95635e-05,4.95635e-05,4.95635e-05
97,4394.83,0.75268,0.3778,0.00203,0.93775,0.89669,0.95019,0.78122,0.76675,0.41795,0.0041,4.13168e-05,4.13168e-05,4.13168e-05
98,4438.72,0.74971,0.37844,0.002,0.93191,0.89733,0.95036,0.78122,0.76558,0.418,0.00409,3.30701e-05,3.30701e-05,3.30701e-05
99,4482.71,0.75291,0.37425,0.00203,0.93495,0.89353,0.94998,0.78061,0.76561,0.41458,0.00409,2.48234e-05,2.48234e-05,2.48234e-05
100,4526.57,0.7446,0.37558,0.002,0.93691,0.88885,0.95073,0.78044,0.76509,0.41487,0.00409,1.65767e-05,1.65767e-05,1.65767e-05
